galaxy_name,n_data_points,f_disk,f_disk_error,rho_c_Msun_kpc3,rho_c_error,r_c_kpc,r_c_error,chi_squared,chi_squared_reduced,degrees_of_freedom,soliton_mass_5rc_Msun,virial_mass_estimate_Msun,virial_radius_estimate_kpc,used_phonon_term,error_floor_fraction
NGC0801,13,0.767426388442976,0.026038454712497893,8100964.132689874,8975304.081187448,8.394978173507319,5.420449299659279,19.581267003527085,1.9581267003527085,10,218426261548.8829,610230455779.7567,175.00559725159877,True,0.05
NGC0891,18,0.6043013218568213,0.04298131165079556,50941344.240352094,47860426.45885709,4.045719718364739,2.3198877972259835,21.721243952864207,1.448082930190947,15,153733037040.19815,185930886971.55283,117.76181568629607,True,0.05
NGC1003,36,0.8425169749345527,0.06578117060678243,9543473.417703118,3163485.281844078,5.2773873673685445,1.0723983035946765,13.804073871587372,0.41830526883598096,33,63925306206.63327,91121247940.88937,92.84543010247553,True,0.05
NGC1090,24,0.6328974336212284,0.12246882897202437,67875758.68393269,69470638.44277392,2.481261946685185,1.2208436882901272,11.259398668548446,0.5361618413594498,21,47254369378.47678,189470166012.31638,118.50434057853157,True,0.05
NGC1705,14,1.3350229063242371,0.23276041284831855,134106127.1491817,185465165.23120698,0.8722497698648997,0.701490311240375,0.7816540728379583,0.07105946116708711,11,4055838381.0715814,7322990104.390697,40.06668963039899,True,0.05
NGC2366,26,0.10000000000000603,4.391258915346678,39940807.55073533,44369339.20713801,1.2215964489204238,0.806894334326582,9.648868214990232,0.4195160093474014,23,3318253458.055148,4251964000.2501917,33.425956145547346,True,0.05
NGC2403,73,0.9142986656250981,0.014958647573420218,16823892.70232549,3105644.0223682136,5.039315853026884,0.6542565456631094,40.70564847999875,0.5815092639999822,70,98118445433.21576,92245176342.46658,93.22560302253065,True,0.05
NGC2683,11,0.8062021251832232,0.5123407177673469,66012599.99460019,960034016.9411138,2.2925499453510145,17.05739581233125,3.9535792956987903,0.4941974119623488,8,36248720841.005135,191111067136.66293,118.84545890328606,True,0.05
NGC2841,50,1.0385502864551992,0.03051110994285331,16798880.784656163,8632931.639866196,9.221825120502691,2.775726320947716,6.0495798201173825,0.12871446425781666,47,600399641050.4207,1181629092522.4836,218.12948355305707,True,0.05
NGC2903,34,0.4021207174817634,0.048089127169106245,1011687308.1652673,477713946.437158,0.8000772473147845,0.1861645501091416,96.90311515707592,3.125906940550836,31,23613017627.054543,212050339149.37332,123.03640601190456,True,0.05
NGC2915,30,0.10000000000000002,1.5353865034736482,231243357.5654503,166751922.7822233,0.7977464841001617,0.31529188064335467,10.096374395157465,0.37393979241323944,27,5350241581.85147,17297643831.95046,53.360058405423445,True,0.05
